,BILL_NO,BILL_ID,PUBL_PROPOSER,BILL_NAME,DESCRIPTION,LINK_URL,VOTE_DATE,VOTE_RESULT,RST_PROPOSER
134,2101844,PRC_B2P0X0Z7X1D3V1T4U1B9G2W6N5I7U8,"강민정,김경만,김정호,김진애,류호정,박성준,박영순,서영석,양이원영,양정숙,오영환,용혜인,이성만,이형석,조오섭,홍성국",한국투자공사법 일부개정법률안," 제안이유 및 주요내용 한국투자공사는 정부와 한국은행 등으로부터 외환보유액 등의 자산을 위탁받아 주식ㆍ채권ㆍ외환ㆍ부동산 등 다양한 국제금융상품에 투자하는 우리나라 대표 해외투자기관으로서 2020년 5월 기준 운용자산 규모는 1,536억 달러에 이르고 있음. 그런데 한국투자공사가 가습기살균제 피해를 일으킨 옥시와 자동차 배출가스 조작사건을 일으킨 폭스바겐, 대일항쟁기 우리국민을 강제동원한 기록이 있는 이른바 전범기업과 같은 비윤리적 기업에 대하여 상당한 규모의 투자를 하였던 것을 계기로 한국투자공사가 국부펀드로서 수익률만을 추구하는 일반 자산운용사와는 달리 기업의 환경ㆍ사회ㆍ지배구조 등의 요소를 함께 고려하는 ‘사회적 책임투자’ 원칙을 견지해야 한다는 지적이 있었음. ‘사회적 책임투자’는 2005년에 UN에서 6가지 투자 원칙을 천명한 이후 서명을 통해 세계 각국 및 기업에 확산되고 있는 추세에 있고, 국내에서는 국민연금이 법개정을 통해 2015년부터 도입하고 있으며, 해외 국부펀드 중에서 노르웨이의 정부연기금(GPFG; Government Pension Fund Global)이 도입하고 있음. 한국투자공사는 2019년 투자정책서 개정과 내규 제정을 통해 ‘한국투자공사 수탁자 책임에 관한 원칙(스튜어드십 원칙)’을 수립·공표하였는바, 이를 안착시키기 위해 법적 근거를 마련하고자 하는 것임(안 제31조제2항 신설). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2P0X0Z7X1D3V1T4U1B9G2W6N5I7U8,2021-02-26,수정가결,김경협
135,2101846,PRC_F2H0D0F7W1R3Y1K4U3T5V5H9K3N7U8,"강준현,김교흥,김회재,문진석,박상혁,박영순,소병훈,조응천,진성준,허영",빈집 및 소규모주택 정비에 관한 특례법 일부개정법률안," 제안이유 및 주요내용 현행법은 도심 저층 노후 주거지를 신속하게 정비할 수 있는 소규모주택정비사업 등을 활성화하기 위해 조합과 토지주택공사등이 소규모주택정비사업을 공동시행할 수 있도록 규정하고 있으며, 공공임대주택을 전체 세대수 또는 연면적의 20퍼센트 이상 공급하는 경우에는 조례에도 불구하고, 「국토의 계획 및 이용에 관한 법률」에 따른 용적률의 상한까지 건축할 수 있도록 하고 있음. 그러나, 조합과 토지주택공사 등이 공동시행할 경우 의사결정 절차가 규정되어 있지 않아 조합이 단독으로 추진할 때의 절차를 준용하고 있으므로, 조합과 토지주택공사 등이 공동시행하는 경우에는 토지주택공사가 단독으로 시행하는 경우와 유사하게 사업 절차 일부를 총회 의결 대신 서면동의로 갈음할 수 있도록 하며(안 제20조제2항), 조합이 설계자 또는 감정평가법인등을 선정하는 경우 그 절차가 별도로 규정되어 있지 않으므로, 조합 총회의 의결을 거쳐야 함을 명확히 규정하는 것임(안 제21조제3항). 또한, 공공임대주택을 10퍼센트 이상 20퍼센트 미만으로 공급하는 경우에도 해당 공공임대주택 공급량에 비례하여 시·도조례로 용적률을 완화할 수 있도록 하여 소규모주택정비사업 활성화와 소규모주택정비사업을 통한 공공임대 주택 확충을 함께 도모하고자 하는 것임(안 제49조제1항). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2H0D0F7W1R3Y1K4U3T5V5H9K3N7U8,2020-08-04,수정가결,문정복
136,2101848,PRC_M2E0O0G7Z1Z3A1I4R4Q3V5O8Y7L1K8,"강기윤,강대식,권명호,김병욱,김상훈,김석기,김용판,김정재,김형동,최승재,추경호,하영제",건설산업기본법 일부개정법률안," 제안이유 및 주요내용 현행법은 건설공사의 수급인이 하수급인에게 하도급공사의 시공과 관련하여 각종 불공정행위를 하지 못하도록 금지하고 있고, 이를 위반하면 수급인을 처벌하도록 하여 하수급인을 보호하고 있음. 그런데 건설공사의 발주자도 우월적인 지위를 이용하여 수급인 또는 하수급인에게 특정 건설사업자를 시공사로 선정할 것을 강요하는 등의 불공정행위를 하고 있지만, 이를 직접적으로 금지하는 규정이 현행법에 마련되지 않아 건설공사의 안전과 품질이 저하될 우려가 있다는 지적이 있음. 이에 발주자가 그 지위를 이용하여 수급인 또는 하수급인에게 도급계약의 체결 또는 건설공사의 시공과 관련하여 특정 업체를 선정·지정할 것을 강요하는 행위를 금지하고, 이를 위반할 경우 처벌하도록 함으로써 건설공사의 안전과 품질이 확보될 수 있도록 하려는 것임(안 제38조의4 신설 등). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2E0O0G7Z1Z3A1I4R4Q3V5O8Y7L1K8,2020-09-24,수정가결,김희국
137,2101914,PRC_T2Q0O0C7U1T4N1A4Q2A6E0P1A4R8F7,"강기윤,강대식,권명호,김병욱,김석기,김용판,김정재,김형동,추경호,하영제",건축법 일부개정법률안," 제안이유 및 주요내용 현행법은 건축물의 안전·기능·미관 등을 확보하고 개인의 생명·재산을 지키기 위해 건축법규를 준수하지 않는 불법건축행위에 대한 고발조치와 함께 불법건축물에 대한 시정명령과 이행강제금 제도를 두고 있음. 최근 개정된 「건축법」(2019. 4. 23. 시행)은 이행강제금 제도의 실효성을 확보하기 위해 영리목적을 위한 위반이나 상습적 위반에 가중할 수 있는 이행강제금의 상한을 종전 100분의 50에서 100분의 100으로 상향하고 있음. 이러한 불법건축물 위반 근절을 위한 법적·제도적 노력에도 불구하고 여전히 불법용도변경, 불법증·개축 등 위법건축물이 지속적으로 발생하고 있고, 위법건축물을 이용한 영업·임대 등에 의한 안전사고도 끊이지 않아 영리목적을 위한 위반과 상습적 위반에 대하여 이행강제금 부과를 의무규정으로 강화하여야 한다는 지적이 제기되고 있음. 이에 허가권자는 영리목적을 위한 위반이나 상습적 위반 등의 경우에 이행강제금을 현재 100분의 100의 범위에서 가중할 수 있도록 하고 있는 규정을 가중하여야 하는 것으로 강화하여 위법건축물 억제와 조속한 원상복구 등을 유도하는 등 이행강제금 제도의 실효성을 제고하려는 것임(안 제80조제2항). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2Q0O0C7U1T4N1A4Q2A6E0P1A4R8F7,2020-11-19,수정가결,김희국
138,2101922,PRC_P2V0M0L7A1A4E1G6X0E3W3Z6E5B5T6,"김민석,김민철,김영배,박완주,박재호,서영교,양기대,오영환,오영훈,이해식,이형석,임호선",지방세법 일부개정법률안," 제안이유 주택 실수요자를 보호하고 투기수요를 근절하기 위하여 법인이 주택을 취득하거나 1세대가 2주택 이상을 취득하는 경우 등은 주택 취득에 따른 취득세율을 상향하고, 단기보유주택 양도 및 다주택자의 조정대상지역 내 주택 양도에 대한 지방소득세 중과세율을 인상하는 한편, 법인의 주택 양도소득에 대한 지방소득세 추가세율을 인상함으로써 실수요자 중심의 주택보유를 유도하여 서민의 주거안정을 도모하고자 함. 주요내용 가. 법인·다주택자 등이 유상 또는 무상으로 주택을 취득하는 경우 취득세 세율을 인상 1) 1세대 2주택을 유상거래를 원인으로 취득하는 경우 취득세 세율을 8% 적용하고, 법인 및 1세대 3주택 이상의 주택을 취득하는 경우 취득세 세율을 12%까지 상향 적용(안 제13조의2 제1항 신설) 2) 조정대상지역 내 주택으로서 일정 가액 이상의 주택을 무상취득 하는 경우에는 취득세 세율을 12% 적용(안 제13조의2 제2항 신설) 3) 중과세 대상인 고급주택 및 별장에 대한 취득세 세율은 최대 20%까지 적용(안 제13조의2 제3항 신설) 4) 취득세 납세의무자의 주택산정 및 세대원 확인을 위해 가족관계등록 전산정보 등의 공동이용 근거 규정 마련(안 제22조의3 신설) 5) 법인과 다주택자의 주택 취득에 대한 지방교육세 세율 규정 마련(안 제151조 제1항 제1호 나목 신설) 나. 단기보유 주택 및 다주택자의 주택양도 등에 대한 지방소득세 세율 인상 1) 단기보유주택 양도에 대한 지방소득세 세율 인상(안 제103조의3 제1항 제1호부터 제4호)보유기간 2년 미만인 주택(조합원입주권 및 분양권 포함)의 양도소득에 대한 지방소득세율을 토지 또는 주택 외 건물에 적용하는 세율보다 상향 2) 다주택자의 조정대상지역 내 주택 양도에 대한 지방소득세 중과세율 인상(안 제103조의3 제10항)다주택자의 조정대상지역 내 주택의 양도소득에 대한 지방소득세 중과세율을 현행 1%(2주택) 또는 2%(3주택 이상)에서 2%(2주택) 또는 3%(3주택 이상)로 상향 3) 다주택자의 지방소득세 중과대상 주택 수 계산 시 분양권 포함(안 제103조의3 제10항 제2호 및 제4호)주택 양도에 대한 지방소득세 중과대상인 다주택자의 주택 수를 계산할 때 조합원 입주권과 동일하게 분양권을 주택 수에 포함 4) 법인의 주택 양도소득에 대한 법인지방소득세 추가세율 인상(안 제103조의31 제1항)법인의 주택 양도소득에 대한 법인지방소득세 추가세율을 현행 1%에서 2%로 상향 조정하고, 주택을 취득할 수 있는 권리로서 조합원입주권 및 분양권 양도 시에도 주택과 동일하게 법인지방소득세 추가세율 적용 참고사항 이 법률안은 고용진의원이 대표발의한 「소득세법 일부개정법률안」(의안번호 제1802호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임. ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2V0M0L7A1A4E1G6X0E3W3Z6E5B5T6,2020-08-04,수정가결,한병도
139,2101949,PRC_Z2Q0W0U7F1O4G1I8L1C6J5U2V9D0M5,"구자근,권명호,김도읍,김형동,박수영,송언석,윤상현,이종성,이철규,전봉민,정경희,정운천,정희용,조경태,추경호",국제항해선박 및 항만시설의 보안에 관한 법률 일부개정법률안," 제안이유및 주요내용 현행법에 따라 항만시설소유자는 국제항해여객선 승객 등의 보안검색과 항만시설의 보안검색에 필요한 시설과 장비를 갖추도록 하고 있음. 그런데 「항공보안법」은 공항운영자, 항공운송사업자 등이 항공보안장비를 사용함에 있어, 항공보안장비의 성능, 인증을 위한 기준ㆍ방법ㆍ절차와 보안장비의 성능 검사 등 운영에 필요한 사항을 신설하여 효율적으로 관리하고 있으나, 현행법은 항만시설의 보안장비를 설치함에 있어 보안장비의 국내 인증의 기준·방법·절차와 보안장비의 성능 검사 등 운영에 필요한 사항을 규정하지 않고 있음. 항만보안은 승객의 안전 및 국가보안상 중요한 사항으로 항만시설 보안장비는 대테러 검색능력 등의 확보를 위해 보다 전문성 있는 기관이 인증한 장비만을 사용하도록 할 필요가 있음. 항만시설과 유사한 철도시설의 보안장비 설치에 관한 「철도안전법」은 이미 시행되고 있다는 점을 고려하면, 조속한 입법조치가 이루어질 필요가 있음. 이에 「항공보안법」에 따른 장비운영자가 보안검색을 하는 경우 인증을 받은 보안장비를 사용하는 것처럼 현행법에 따른 항만시설 보안장비도 정부가 인증한 장비만을 사용하도록 하는 성능 인증제를 도입하려는 것임(안 제30조의2, 제30조의3부터 제30조의8까지, 제46조 및 제52조). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2Q0W0U7F1O4G1I8L1C6J5U2V9D0M5,2020-11-19,수정가결,안병길
140,2101959,PRC_X2L0R0O7G1W5P1F0G2S6H4G3B4C8D1,"기동민,김종민,김진표,김회재,박성준,박영순,어기구,장철민,황운하",연구산업진흥법안," 제안이유 및 주요내용 정부는 R▒D 생산성 제고 및 과학기술기반 서비스 일자리 창출을 위한 “연구산업 혁신성장전략”을 수립ㆍ발표하였음. R▒D 연동산업 전체를 하나의 산업인 “연구산업”으로 묶어 관련 시장을 확대하고, R▒D 활동을 보다 전문화된 주체들에게 분업화할 수 있는 개방형 혁신 생태계 조성을 위한 종합적인 정책을 마련해야할 필요성이 있음. 우리나라는 세계 5위 수준의 R▒D 투자국(’16년, 598억 달러)으로 R▒D 생산성이 국가 경쟁력에 미치는 영향이 매우 큼. 이에 연구산업은 연구개발의 효율성을 향상시킬 수 있는 중요한 산업으로, 법에 근거를 둔 체계적인 육성이 필요함. 연구산업 중 주문연구ㆍ연구관리 분야에 해당하는 연구개발서비스업이 규정되어 있던 「이공계지원특별법」은 이공계인력의 활용 촉진을 위한 법으로서, 연구산업 전 분야를 포괄하는 산업 진흥법 마련이 필요함. 이에 「연구산업진흥법」을 통하여 연구산업 발전을 위한 산업시장의 확대 및 산업 생태계의 체계적인 육성ㆍ지원에 관한 사항을 규정하고자 함(안 제4조 등). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2L0R0O7G1W5P1F0G2S6H4G3B4C8D1,2021-03-24,수정가결,이상민
141,2101971,PRC_X2Z0S0L7E1T5H1X2T0V9R4B0O2L2N6,"김경만,김남국,김승원,김영배,김영호,김정호,김홍걸,박성준,박영순,박홍근,신정훈,안호영,양이원영,윤미향,윤재갑,이동주,이성만,이소영,이수진,이용우,이원택,이해식,전혜숙,정필모,허영,홍성국,황운하",전기사업법 일부개정법률안," 제안이유 인류가 당면한 가장 심각한 위기는 기후변화임. 기후변화에 관한 정부 간 협의체는 2018년 총회에서 ‘지구온난화 1.5도 특별보고서’를 만장일치로 채택하고 2050년까지 탄소 중립을 달성하기 위해 세계 전력의 70∼85%를 재생에너지로 공급할 것을 권고하고 있음. 재생에너지의 빠른 확대를 위해서는 전기사용자의 자발적인 재생에너지 사용을 촉진할 필요가 있음. 기업 활동에 필요한 전력의 100%를 재생에너지로 공급하겠다는 캠페인(RE100)에 가입한 주요 글로벌 기업이 235개를 넘어섰음. 이들 기업은 협력업체에도 재생에너지를 사용할 것을 요구하고 있어 재생에너지 사용이 우리 기업의 수출경쟁력에 직접적인 영향을 미치기 시작함. 세계적으로 기업들은 자체 설비를 갖추거나 녹색요금제·인증서구매·전력구매계약(Power Purchase Agreement, PPA) 제도 등을 통해서 재생에너지 전력을 조달하고 있음. 국내에는 현재 제도가 없어 자가 설비만 가능한 상황임. 산업통상자원부는 현재 녹색요금제 도입을 검토 중임. 그러나 녹색요금제만으로는 기업의 재생에너지 수요를 맞추기에 부족하고, 세계 주요기업은 자율성이 보장되며 장기계약을 통해 미래의 불확실성을 회피할 수 있는 전력구매계약을 선호하는 추세임. 현행 「전기사업법」은 동일인에게 전기사업(발전사업·송전사업·배전사업·전기판매사업 및 구역전기사업) 중 두 종류 이상의 전기사업을 허가할 수 없도록 되어 있고, 발전사업자와 전기판매사업자에게 전력거래소가 개설한 전력시장에서 전력거래를 하도록 하고 있으며, 전기사용자는 전력시장에서 전력을 직접 구매할 수 없도록 하고 있음. 이에 현행 전력시장의 기본적인 틀은 유지한 채, 재생에너지전기공급사업을 겸업이 가능한 전기신사업의 한 종류로 추가하여 기업이 재생에너지전기공급사업자와의 자율적인 전력구매계약(PPA)을 통해서 재생에너지 전기를 사용할 수 있도록 근거를 마련하려는 것임. 주요내용 가. “재생에너지전기공급사업”과 “재생에너지전기공급사업자”에 대한 정의 규정을 신설함(안 제2조제12호의8 및 제2조제12호의9 신설). 나. “전기신사업”의 종류에 “재생에너지전기공급사업”을, “전기신사업자”의 종류에 “재생에너지전기공급사업자”를 추가함(안 제2조제12호의2 및 제2조제12호의3). 다. “전기판매사업”에서 제외되는 사업에 “재생에너지전기공급사업”을 추가함(안 제2조제9호). 라. 재생에너지전기공급사업자의 전기공급 업무를 규정함(안 제16조의5). 마. 전기공급의 의무를 지는 사업자에 재생에너지전기공급사업자를 추가함(안 제14조). 바. 재생에너지전기공급사업자는 전기신사업 약관의 신고에서 제외함(안 제16조의2 신설). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2Z0S0L7E1T5H1X2T0V9R4B0O2L2N6,2021-03-24,수정가결,김성환
142,2101985,ARC_R2N0Y0B7M1I5N1E4Z3S4R1J1W1D5L9,,철도사업법 일부개정법률안," 제안이유 및 주요내용 국민생활 및 기업활동과 밀접하게 관련되어 있는 신고 민원의 처리절차를 법령에서 명확하게 규정함으로써 관련 민원의 투명하고 신속한 처리와 일선 행정기관의 적극행정을 유도하기 위하여, 철도사업자의 운임ㆍ요금 및 철도사업약관 등의 신고, 전용철도 운영의 양도ㆍ양수 또는 상속신고 등이 수리가 필요한 신고임을 명시하려는 것임. ",https://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_R2N0Y0B7M1I5N1E4Z3S4R1J1W1D5L9,2020-12-01,수정가결,정부
143,2102008,PRC_W2S0T0F7J1J5N1O8B1S2Z5Z5O2R9C8,"박정,송갑석,우원식,이동주,이장섭,전용기,최승재,최인호,황희",지역상권 상생 및 활성화에 관한 법률안," 제안이유 최근 도시 환경이 변하여 중·상류층이 도심의 낙후지역으로 유입되면서 그 지역의 주거 환경이 개선되고 이에 따른 지가상승으로 기존에 거주하던 원주민들이 다른 곳으로 이주하게 되는 젠트리피케이션(gentrification) 현상이 지역상권을 중심으로 발생하고 있음. 상권 젠트리피케이션은 특색있는 상권 형성에 공헌한 기존 상인, 수공업자, 예술인들이 임대료 급상승으로 기존 삶의 터전을 잃게 되고, 획일화된 대기업 매장과 대규모 프랜차이즈 업체의 입점으로 기존 상권 고유의 특색이 사라지게 됨으로써 오히려 상권이 축소되어 임대인, 임차인, 사업자 등 지역공동체 당사자 모두에게 좋지 않은 결과를 초래함. 상권 젠트리피케이션 현상을 방지하기 위해서는 임대인, 임차인, 사업자 등 지역공동체 당사자 간의 공존과 상생의 협력적 이해관계를 조성하는 것이 무엇보다 중요함. 이에 동 법안은 지역공동체 당사자 간의 공존과 상생의 협력적 이해관계를 증진시키고, 지역상권의 젠트리피케이션 현상을 예방하고, 또한 쇠퇴해가는 구도심 상권 활성화를 통해 지역에 특화된 문화의 계속적인 발전 및 지역 서민경제의 활성화를 도모하려는 것임. 주요내용 가. 이 법은 지역상권 구성원 간의 상호 협력을 증진시키고, 자생적·자립적인 상권의 운영에 필요한 사항을 규정함으로써 지역경제의 활성화 및 국민경제의 균형있는 발전에 기여함을 목적으로 함(안 제1조). 나. 중소벤처기업부장관은 활성화구역의 체계적인 발전을 위하여 지역상권 상생 및 활성화 종합계획을 3년마다 수립·시행함(안 제6조). 다. 지역상생구역으로 지정받고자 하는 구역 또는 제15조에 따라 자율상권구역으로 지정받고자 하는 구역의 점포에서 상시영업을 하는 상인, 임대인 등 대통령령으로 정하는 자는 지역상생 발전을 위한 상생협약을 체결해야 함(안 제10조). 라. 활성화구역의 지정 또는 변경, 해제 등에 관한 사항을 심의하기 위하여 특별시·광역시·특별자치시·도 및 특별자치도에 지역상권위원회를 설치함(안 제11조). 마. 지역상생구역의 지정 및 운영 등에 관한 사항을 규정함(안 제12조부터 제14조까지). 바. 자율상권구역의 지정 및 운영 등에 관한 사항을 규정함(안 제15조부터 제26조까지). 사. 상가임대차 계약에 관한 특례, 부설주차장 설치에 관한 특례, 온누리상품권 가맹점 특례 등 활성화구역에 관한 특례를 규정함(안 제27조부터 제31조). 아. 활성화구역의 사업지원 업무 지원을 위한 전문기관 지정 근거를 규정함(안 제32조). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2S0T0F7J1J5N1O8B1S2Z5Z5O2R9C8,2021-06-29,수정가결,홍익표
144,2102014,PRC_T2P0E0N7M1Z5Q1T8N3U9U3R3D6G4H4,"고용진,김윤덕,김정호,김철민,김회재,인재근,장경태,정청래,최인호",여객자동차 운수사업법 일부개정법률안," 제안이유 및 주요내용 최근 쏘카 등 비대면 자동차대여 서비스가 활성화됨에 따라 미성년자를 비롯한 무자격자도 타인의 아이디와 비밀번호만 있으면 자동차를 대여할 수 있게 되어 이로 인한 각종 사건사고가 발생하고 있음. 현행법의 경우 자동차대여사업자가 자동차 임차인의 운전자격을 확인하도록 하여 무자격자의 자동차 대여를 일정부분 막고는 있지만, 타인의 계정을 빌리거나 타인에게 빌려주는 행위 자체를 금지하지는 않아 비대면 자동차대여 서비스를 통한 미성년자 등의 자동차 대여가 계속적으로 이루어질 수 있는 문제점이 있음. 이에 자동차대여사업자의 자동차를 임차하기 위하여 다른 사람에게 명의를 빌려주거나 다른 사람의 명의를 빌리는 행위를 금지하고, 이를 위반하는 경우 1천만원 이하의 벌금에 처하도록 함으로써, 무자격자의 자동차 대여를 차단하고 이로 인한 사고의 위험을 미연에 방지하려는 것임(안 제34조의4 및 제92조제10호의2 신설). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2P0E0N7M1Z5Q1T8N3U9U3R3D6G4H4,2020-09-24,수정가결,신동근
145,2102016,PRC_V2P0N0D7X1K5Z1A8P4U2C5X3E3I5A5,"강득구,강병원,강선우,강은미,강훈식,고영인,권칠승,김교흥,김남국,김민기,김민석,김성환,김수흥,김승남,김원이,김홍걸,김회재,남인순,노웅래,문진석,민병덕,민형배,박광온,박범계,박정,서동용,서삼석,서영교,설훈,소병철,송갑석,송영길,신영대,신정훈,안규백,양경숙,양정숙,양향자,우상호,유동수,윤미향,윤영덕,윤영찬,윤재갑,이개호,이규민,이낙연,이병훈,이원욱,이장섭,이정문,이탄희,이학영,이형석,인재근,장경태,전해철,전혜숙,정청래,정태호,조오섭,주철현,진성준,한병도,홍성국,홍정민,황희",5·18민주유공자예우에 관한 법률 일부개정법률안," 제안이유 현행법은 5·18민주화운동과 관련하여 희생하거나 공헌한 자와 그 유가족에게 국가가 합당한 예우를 하기 위한 목적으로 제정되어, 5·18민주화운동에 기여한 사람들에게 각종 보훈혜택을 부여하고 있으나, 5·18민주화운동 관련 단체가 공법단체로 규정되어 있지 않아 회원관리 및 운영에 어려움을 겪고 있는 실정임. 이에 5·18민주유공자와 그 유가족의 민주화운동에 대한 공헌을 기리고 회원들의 복리증진 및 단체의 원활한 운영을 위한 법적 근거를 마련하여 숭고한 희생정신을 선양하고 민주화 정신을 고취하려는 것임. 또한, 5·18민주화운동 관련 단체가 운영하는 수익사업을 체계적으로 관리·감독하기 위하여 수익사업 승인의 유효기간 설정 및 연장, 수익사업의 정지, 수익사업 운영에 대한 실태조사 실시, 수익사업 운영 관련 정보 공개, 재무회계규칙 도입 등 단체의 투명하고 건전한 운영을 도모하려는 것임. 그리고, 독립유공자, 국가유공자, 보훈보상대상자와 그 유족 중 생활이 어려운 대상자에 대하여는 최소 21만원에서 최대 32만원의 생활조정수당을 지급하고 있으나, 생계가 곤란한 5·18민주유공자(유족)에 대하여는 일시 보상을 받았다는 이유로 어떠한 금전적 지원이 없어, 생활수준이 어려운 분들에 대하여 생계지원이 필요하므로, 5·18민주유공자(유족) 중 생계곤란자에 대하여 생활조정수당을 지급하도록 하여 최소한의 생활보장수단을 마련하려는 것임. 주요내용 가. 법률 제명을 「5·18민주유공자예우 및 단체설립에 관한 법률」로 변경함. 나. 유족 또는 가족의 범위에 5·18민주화운동사망자 또는 행방불명자의 경우 직계존비속이 없는 경우 형제 자매 중 추천된 1명을 포함하도록 함(안 제5조제1항제6호신설). 다. 5·18민주유공자와 그 유족이 친목을 도모하고 회원의 권익을 향상하기 위하여 5·18민주화운동부상자회, 5·18민주유공자유족회, 5·18민주화운동공로자회(이하 “각 단체”라 함)를 설립할 수 있도록 함(안 제55조 신설). 라. 각 단체는 정치활동을 금지하도록 함(안 제63조 신설). 마. 각 단체는 법인으로 하고 정관, 회원, 임원 등, 이사회, 총회, 조직 등과 사업범위를 규정함(안 제56조부터 제64조까지 신설). 바. 각 단체는 사업범위에서 수익사업을 할 수 있도록 하고, 수익사업의 승인을 국가보훈처장에게 받도록 함(안 제65조 및 제66조 신설). 사. 수익사업에 대한 체계적인 관리를 위하여 수익사업 승인의 유효기간을 설정하고, 승인의 유효기간을 승인을 받은 날부터 3년 이내로 하며, 신청이 있는 경우 국가보훈처장은 3년 이내의 기간으로 유효기간을 연장할 수 있도록 함(안 제68조 신설). 아. 국가보훈처장은 각 단체가 법률을 위반하여 수익사업을 행한 경우 수익사업의 정지 또는 취소를 할 수 있도록 함(안 제69조 신설). 자. 각 단체의 수익사업 운영에 관한 사항을 심의하기 위하여 단체별로 복지사업심의위원회를 두도록 함(안 제70조 신설). 차. 각 단체는 총리령으로 정하는 일정 규모 이상의 수익사업에 대하여 매 회계연도 종료 후 3개월 이내에 회계법인의 회계감사를 받도록 함(안 제73조 신설). 카. 국가보훈처장은 각 단체 수익사업의 건전한 운영을 위하여 필요한 경우 수익사업 운영 실태를 조사할 수 있도록 하고, 각 단체의 회계감사보고서 등을 국가보훈처 홈페이지에 공개하도록 함(안 제74조 및 제75조 신설). 타. 국가 또는 지방자치단체는 예산의 범위에서 각 단체의 운영 등에 필요한 보조금을 교부할 수 있도록 함(안 제77조 신설). 파. 각 단체의 국유재산 또는 공유재산 보유 현황을 파악하고 관리를 강화하기 위하여, 국유재산 또는 공유재산을 매입하고 그 후 해당 재산을 처분하려는 경우에는 그 내용과 조건 등 계약에 관한 사항을 계약 체결일 30일 전까지 국가보훈처장에게 보고하도록 함(안 제78조 신설). 하. 각 단체의 투명한 재정관리를 위하여 예산 또는 회계 처리를 총리령으로 정하는 재무ㆍ회계 기준에 따르도록 함(안 제82조 신설). 거. 5·18민주유공자와 유족 중 대통령령으로 정하는 바에 따라 생활수준을 고려하여 생활조정수당을 지급할 수 있도록 함(안 제89조의2 신설). 너. 각 단체의 의무이행을 위하여 거짓이나 그 밖의 부정한 방법으로 수익사업의 승인을 받거나 받게 한 자, 명의대여자 및 명의수여자 등 법률 위반행위를 한 자에 대하여 1년 이하의 징역 또는 1천만원 이하의 벌금을 부과하도록 함(안 제98조제4항 신설). 더. 각 단체의 의무이행을 위하여 승인을 받지 아니하고 수익사업을 운영한 자, 회계감사 또는 감사를 거부하거나 거짓으로 받은 자 등에게 5백만원 이하의 과태료를 부과하고, 보고 또는 자료제출을 거부하거나 거짓으로 한 자 등에게 3백만원 이하의 과태료를 부과하도록 함(안 제100조제3항제4호 및 제5호). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2P0N0D7X1K5Z1A8P4U2C5X3E3I5A5,2020-12-09,수정가결,이용빈
146,2102021,ARC_T2Y0I0Z7P1P6K1G0F5Z1K0M0Y6Y0C9,,도시 및 주거환경정비법 일부개정법률안," 제안이유 및 주요내용 국민생활 및 기업활동과 밀접하게 관련되어 있는 인허가 및 신고 민원의 처리절차를 법령에서 명확하게 규정함으로써 관련 민원의 투명하고 신속한 처리와 일선 행정기관의 적극행정을 유도하기 위하여, 주택재개발사업 등 정비사업을 위한 조합설립, 사업시행 및 관리처분계획 등의 인가 사항 중 경미한 사항의 변경신고가 수리가 필요한 신고임을 명시하고, 시장ㆍ군수 등의 정비사업 준공인가나 공사완료의 고시와 관련하여 협의를 요청받은 행정기관의 장이 30일 이내에 의견을 회신하도록 하고, 그 기간 내에 의견을 회신하지 아니하는 경우에는 협의가 이루어진 것으로 간주(看做)하는 제도를 도입하려는 것임. ",https://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_T2Y0I0Z7P1P6K1G0F5Z1K0M0Y6Y0C9,2021-02-26,수정가결,정부
